symbol,report_date,net_sales,pat,eps,market_type,net_sales_hi,pat_hi,eps_hi,all_hi,avail_date,source,eps_reported,split_factor,eps_adj,all_hi_pos
360ONE,2018-06-30,425.22,109.91,3.3,Mid Cap,False,False,False,False,2018-08-29,historical,13.2,4.0,3.3,False
360ONE,2018-09-30,426.18,100.58,2.875,Mid Cap,False,False,False,False,2018-11-29,historical,11.5,4.0,2.875,False
360ONE,2018-12-31,356.57,81.13,2.32,Mid Cap,False,False,False,False,2019-03-01,historical,9.28,4.0,2.32,False
360ONE,2019-03-31,348.71,83.53,2.385,Mid Cap,False,False,False,False,2019-05-30,historical,9.54,4.0,2.385,False
360ONE,2019-06-30,361.22,61.55,1.7575,Mid Cap,False,False,False,False,2019-08-29,historical,7.03,4.0,1.7575,False
360ONE,2019-09-30,369.32,68.42,1.9425,Mid Cap,False,False,False,False,2019-11-29,historical,7.77,4.0,1.9425,False
360ONE,2019-12-31,406.49,74.16,2.1,Mid Cap,False,False,False,False,2020-02-29,historical,8.4,4.0,2.1,False
360ONE,2020-03-31,431.62,-2.96,-0.085,Mid Cap,False,False,False,False,2020-05-30,historical,-0.34,4.0,-0.085,False
360ONE,2020-06-30,349.46,82.27000000000001,2.335,Mid Cap,False,False,False,False,2020-08-29,historical,9.34,4.0,2.335,False
360ONE,2020-09-30,387.44,87.13,2.4675,Mid Cap,False,False,False,False,2020-11-29,historical,9.87,4.0,2.4675,False
360ONE,2020-12-31,454.74,96.48,2.7325,Mid Cap,True,True,True,True,2021-03-01,historical,10.93,4.0,2.7325,True
360ONE,2021-03-31,420.0,103.3,2.91,Mid Cap,False,True,True,False,2021-05-30,historical,11.64,4.0,2.91,False
360ONE,2021-06-30,381.45,116.86,3.28,Mid Cap,False,True,True,False,2021-08-29,historical,13.12,4.0,3.28,False
360ONE,2021-09-30,485.67,142.48,3.95,Mid Cap,True,True,True,True,2021-11-29,historical,15.8,4.0,3.95,True
360ONE,2021-12-31,536.23,152.94,4.23,Mid Cap,True,True,True,True,2022-03-01,historical,16.92,4.0,4.23,True
360ONE,2022-03-31,447.3,165.45999999999998,1.1425,Mid Cap,False,True,False,False,2022-05-30,historical,4.57,4.0,1.1425,False
360ONE,2022-06-30,471.12,156.57999999999998,1.0875,Mid Cap,False,False,False,False,2022-08-29,historical,4.35,4.0,1.0875,False
360ONE,2022-09-30,504.8,174.37,1.2025,Mid Cap,False,True,False,False,2022-11-29,historical,4.81,4.0,1.2025,False
360ONE,2022-12-31,517.0899999999999,171.53,1.18,Mid Cap,False,False,False,False,2023-03-01,historical,4.72,4.0,1.18,False
360ONE,2023-03-31,482.19,155.41,4.26,Mid Cap,False,False,False,False,2023-05-30,historical,4.26,1.0,4.26,False
360ONE,2023-06-30,573.0,183.58,5.04,Mid Cap,True,True,False,True,2023-08-29,historical,5.04,1.0,5.04,True
360ONE,2023-09-30,560.63,185.91,5.08,Mid Cap,False,True,False,False,2023-11-29,historical,5.08,1.0,5.08,False
360ONE,2023-12-31,647.6800000000001,192.11,5.21,Mid Cap,True,True,False,False,2024-02-29,historical,5.21,1.0,5.21,False
360ONE,2024-03-31,791.17,242.61,6.52,Mid Cap,True,True,True,True,2024-05-30,historical,6.52,1.0,6.52,True
360ONE,2024-06-30,849.3399999999999,243.74,6.49,Mid Cap,True,True,False,False,2024-08-29,historical,6.49,1.0,6.49,False
360ONE,2024-09-30,862.76,245.49,6.47,Mid Cap,True,True,False,False,2024-11-29,historical,6.47,1.0,6.47,False
360ONE,2024-12-31,780.0,276.47,6.96,Mid Cap,False,True,True,False,2025-03-01,historical,6.96,1.0,6.96,False
360ONE,2025-03-31,820.7700000000001,249.6,6.17,Mid Cap,False,False,False,False,2025-05-30,historical,6.17,1.0,6.17,False
360ONE,2025-06-30,966.58,284.67,6.95,Mid Cap,True,True,False,False,2025-08-29,historical,6.95,1.0,6.95,False
360ONE,2025-09-30,1098.06,315.48,7.56,Mid Cap,True,True,True,True,2025-11-29,historical,7.56,1.0,7.56,True
360ONE,2025-12-31,1181.48,327.28000000000003,7.82,Mid Cap,True,True,True,True,2026-03-01,historical,7.82,1.0,7.82,True
360ONE,2026-03-31,1115.47,288.74,6.85,Mid Cap,False,False,False,False,2026-05-30,historical,6.85,1.0,6.85,False
360ONE,2026-06-30,1226.0,331.0,8.13,Mid Cap,True,True,True,True,2026-08-11,live_scrape,8.13,1.0,8.13,True
3MINDIA,2010-03-31,262.5,27.880000000000003,24.75,Mid Cap,False,False,False,False,2010-05-30,historical,24.75,1.0,24.75,False
3MINDIA,2010-06-30,291.14,31.85,28.27,Mid Cap,False,False,False,False,2010-08-29,historical,28.27,1.0,28.27,False
3MINDIA,2010-09-30,295.66,22.53,20.0,Mid Cap,False,False,False,False,2010-11-29,historical,20.0,1.0,20.0,False
3MINDIA,2010-12-31,284.58000000000004,16.130000000000003,14.32,Mid Cap,False,False,False,False,2011-03-01,historical,14.32,1.0,14.32,False
3MINDIA,2011-03-31,320.03000000000003,28.3,25.12,Mid Cap,False,False,False,False,2011-05-30,historical,25.12,1.0,25.12,False
3MINDIA,2011-06-30,351.66,28.83,25.59,Mid Cap,False,False,False,False,2011-08-29,historical,25.59,1.0,25.59,False
3MINDIA,2011-09-30,332.06,11.88,10.55,Mid Cap,False,False,False,False,2011-11-29,historical,10.55,1.0,10.55,False
3MINDIA,2011-12-31,320.09000000000003,2.29,2.03,Mid Cap,False,False,False,False,2012-02-29,historical,2.03,1.0,2.03,False
3MINDIA,2012-03-31,401.3,21.77,19.33,Mid Cap,True,False,False,False,2012-05-30,historical,19.33,1.0,19.33,False
3MINDIA,2012-06-30,407.88,16.71,14.83,Mid Cap,True,False,False,False,2012-08-29,historical,14.83,1.0,14.83,False
3MINDIA,2012-09-30,383.1,11.3,10.03,Mid Cap,False,False,False,False,2012-11-29,historical,10.03,1.0,10.03,False
3MINDIA,2012-12-31,374.08,3.17,2.82,Mid Cap,False,False,False,False,2013-03-01,historical,2.82,1.0,2.82,False
3MINDIA,2013-03-31,409.08,21.09,18.72,Mid Cap,True,False,False,False,2013-05-30,historical,18.72,1.0,18.72,False
3MINDIA,2013-06-30,421.37,12.59,11.18,Mid Cap,True,False,False,False,2013-08-29,historical,11.18,1.0,11.18,False
3MINDIA,2013-09-30,454.64,1.56,1.39,Mid Cap,True,False,False,False,2013-11-29,historical,1.39,1.0,1.39,False
3MINDIA,2013-12-31,427.78,3.43,3.05,Mid Cap,False,False,False,False,2014-03-01,historical,3.05,1.0,3.05,False
3MINDIA,2014-03-31,438.55,25.4,22.55,Mid Cap,False,True,True,False,2014-05-30,historical,22.55,1.0,22.55,False
3MINDIA,2014-06-30,462.62,25.45,22.59,Mid Cap,True,True,True,True,2014-08-29,historical,22.59,1.0,22.59,True
3MINDIA,2014-09-30,457.53,24.61,21.85,Mid Cap,False,False,False,False,2014-11-29,historical,21.85,1.0,21.85,False
3MINDIA,2014-12-31,442.71,16.65,14.78,Mid Cap,False,False,False,False,2015-03-01,historical,14.78,1.0,14.78,False
3MINDIA,2015-03-31,477.44,41.63,36.96,Mid Cap,True,True,True,True,2015-05-30,historical,36.96,1.0,36.96,True
3MINDIA,2015-06-30,527.78,37.29,33.1,Mid Cap,True,False,False,False,2015-08-29,historical,33.1,1.0,33.1,False
3MINDIA,2015-09-30,524.5,47.61,42.26,Mid Cap,False,True,True,False,2015-11-29,historical,42.26,1.0,42.26,False
3MINDIA,2015-12-31,526.53,46.82,41.56,Mid Cap,False,False,False,False,2016-02-29,historical,41.56,1.0,41.56,False
