signal_id,symbol,market_type,trigger_date,entry_date,entry_price,target_ath,trigger_close,drawdown_pct,first_published,record,exit_date,exit_price,exit_reason,status
GODREJPROP@2026-06-01,GODREJPROP,Mid Cap,2026-06-01,2026-06-02,1701.0,3381.4,1714.2,-49.31,2026-09-05,reconstructed,,,,OPEN
HAVELLS@2026-06-01,HAVELLS,Mid Cap,2026-06-01,2026-06-02,1133.0,2082.4,1143.2,-45.1,2026-09-05,reconstructed,,,,OPEN
IDEA@2026-06-01,IDEA,Mid Cap,2026-06-01,2026-06-02,14.0,84.4792,13.95,-83.49,2026-09-05,reconstructed,,,,OPEN
IGIL@2026-06-01,IGIL,Small Cap,2026-06-01,2026-06-02,362.65,620.4,362.65,-41.55,2026-09-05,reconstructed,,,,OPEN
MAPMYINDIA@2026-06-01,MAPMYINDIA,Small Cap,2026-06-01,2026-06-02,840.45,2531.5,840.5,-66.8,2026-09-05,reconstructed,,,,OPEN
NAUKRI@2026-06-01,NAUKRI,Mid Cap,2026-06-01,2026-06-02,995.0,1805.1,1004.05,-44.38,2026-09-05,reconstructed,,,,OPEN
SIGNATURE@2026-06-01,SIGNATURE,Small Cap,2026-06-01,2026-06-02,820.0,1612.9,820.15,-49.15,2026-09-05,reconstructed,,,,OPEN
SUPREMEIND@2026-06-01,SUPREMEIND,Mid Cap,2026-06-01,2026-06-02,3484.0,6186.3,3520.7,-43.09,2026-09-05,reconstructed,,,,OPEN
TATATECH@2026-06-01,TATATECH,Small Cap,2026-06-01,2026-06-02,711.05,1313.0,714.8,-45.56,2026-09-05,reconstructed,,,,OPEN
TCS@2026-06-01,TCS,Large Cap,2026-06-01,2026-06-02,2320.0,4553.75,2297.4,-49.55,2026-09-05,reconstructed,,,,OPEN
ITCHOTELS@2026-06-02,ITCHOTELS,Mid Cap,2026-06-02,2026-06-03,152.5,254.75,152.63,-40.09,2026-09-05,reconstructed,,,,OPEN
INFY@2026-06-05,INFY,Large Cap,2026-06-05,2026-06-08,1177.5,1999.7,1197.5,-40.12,2026-09-05,reconstructed,,,,OPEN
SOBHA@2026-06-08,SOBHA,Small Cap,2026-06-08,2026-06-09,1293.2,2181.15,1292.7,-40.73,2026-09-05,reconstructed,,,,OPEN
ICICIPRULI@2026-06-10,ICICIPRULI,Mid Cap,2026-06-10,2026-06-11,465.4,791.05,465.8,-41.12,2026-09-05,reconstructed,,,,OPEN
LEMONTREE@2026-06-11,LEMONTREE,Small Cap,2026-06-11,2026-06-12,104.29,177.93,103.68,-41.73,2026-09-05,reconstructed,,,,OPEN
ASTRAL@2026-06-29,ASTRAL,Mid Cap,2026-06-29,2026-06-30,1381.6,2417.75,1368.0,-43.42,2026-09-05,reconstructed,,,,OPEN
NSLNISP@2026-07-22,NSLNISP,Small Cap,2026-07-22,2026-07-23,42.24,70.9,42.24,-40.42,2026-09-05,reconstructed,,,,OPEN
AARTIIND@2026-08-11,AARTIIND,Small Cap,2026-08-11,2026-08-12,510.0,1156.55,505.3,-56.31,2026-09-05,reconstructed,,,,OPEN
BLUEDART@2026-08-11,BLUEDART,Small Cap,2026-08-11,2026-08-12,5116.0,9369.45,5092.5,-45.65,2026-09-05,reconstructed,,,,OPEN
DEEPAKNTR@2026-08-11,DEEPAKNTR,Small Cap,2026-08-11,2026-08-12,1779.8,3102.6,1784.8,-42.47,2026-09-05,reconstructed,,,,OPEN
PCBL@2026-08-11,PCBL,Small Cap,2026-08-11,2026-08-12,323.0,577.6,322.15,-44.23,2026-09-05,reconstructed,,,,OPEN
TRENT@2026-08-11,TRENT,Large Cap,2026-08-11,2026-08-12,3000.0,5489.97,3000.0,-45.35,2026-09-05,reconstructed,,,,OPEN
GODREJCP@2026-08-12,GODREJCP,Large Cap,2026-08-12,2026-08-13,911.4,1516.7,910.0,-40.0,2026-09-05,reconstructed,,,,OPEN
DABUR@2026-08-19,DABUR,Mid Cap,2026-08-19,2026-08-20,402.1,667.55,399.75,-40.12,2026-09-05,reconstructed,,,,OPEN
UTIAMC@2026-08-31,UTIAMC,Small Cap,2026-08-31,2026-09-01,871.0,1475.4,870.55,-41.0,2026-09-05,reconstructed,,,,OPEN
VBL@2026-08-31,VBL,Large Cap,2026-08-31,2026-09-01,404.45,674.12,400.45,-40.6,2026-09-05,reconstructed,,,,OPEN
NTPCGREEN@2026-09-02,NTPCGREEN,Mid Cap,2026-09-02,2026-09-03,88.25,148.61,88.12,-40.7,2026-09-05,reconstructed,,,,OPEN
SAPPHIRE@2026-09-02,SAPPHIRE,Small Cap,2026-09-02,2026-09-03,227.45,381.6,228.21,-40.2,2026-09-05,reconstructed,,,,OPEN
