company,market_type,symbol,bse_code,bse_id
Ion Exchange (India) Ltd.,Micro Cap,IONEXCHANG,500214,IONEXCHANG
Ipca Laboratories Ltd.,Mid Cap,IPCALAB,524494,IPCALAB
Ircon International Ltd.,Small Cap,IRCON,541956,IRCON
J B M Auto Ltd.,Small Cap,JBMA,532605,JBMA
J K Cement Ltd.,Mid Cap,JKCEMENT,532644,JKCEMENT
J K Lakshmi Cement Ltd.,Micro Cap,JKLAKSHMI,500380,JKLAKSHMI
J K Paper Ltd.,Micro Cap,JKPAPER,532162,JKPAPER
J K Tyre & Inds. Ltd.,Small Cap,JKTYRE,530007,JKTYRE
J M Financial Ltd.,Small Cap,JMFINANCIL,523405,JMFINANCIL
J S W Cement Ltd.,Small Cap,JSWCEMENT,544480,JSWCEMENT
J S W Energy Ltd.,Mid Cap,JSWENERGY,533148,JSWENERGY
J S W Infrastructure Ltd.,Mid Cap,JSWINFRA,543994,JSWINFRA
J S W Steel Ltd.,Large Cap,JSWSTEEL,500228,JSWSTEEL
Jai Balaji Inds. Ltd.,Micro Cap,JAIBALAJI,532976,JAIBALAJI
Jain Resource Recycling Ltd.,Small Cap,JAINREC,544537,JAINREC
Jaiprakash Power Ventures Ltd.,Small Cap,JPPOWER,532627,JPPOWER
Jammu & Kashmir Bank Ltd.,Small Cap,J&KBANK,532209,J&KBANK
Jamna Auto Inds. Ltd.,Micro Cap,JAMNAAUTO,520051,JAMNAAUTO
Jana Small Finance Bank Ltd.,Micro Cap,JSFB,544118,JSFB
Jayaswal Neco Inds. Ltd.,Micro Cap,JAYNECOIND,522285,JAYNECOIND
Jeena Sikho Lifecare Ltd.,Micro Cap,JSLL,544476,JSLL
Jindal Saw Ltd.,Small Cap,JINDALSAW,500378,JINDALSAW
Jindal Stainless Ltd.,Mid Cap,JSL,532508,JSL
Jindal Steel Ltd.,Large Cap,JINDALSTEL,532286,JINDALSTEL
Jio Financial Services Ltd.,Large Cap,JIOFIN,543940,JIOFIN
Jsw Dulux Ltd.,Small Cap,JSWDULUX,500710,JSWDULUX
Jubilant Foodworks Ltd.,Mid Cap,JUBLFOOD,533155,JUBLFOOD
Jubilant Ingrevia Ltd.,Small Cap,JUBLINGREA,543271,JUBLINGREA
Jubilant Pharmova Ltd.,Small Cap,JUBLPHARMA,530019,JUBLPHARMA
Jupiter Life Line Hospitals Ltd.,Micro Cap,JLHL,543980,JLHL
Jupiter Wagons Ltd.,Small Cap,JWL,533272,JWL
Just Dial Ltd.,Micro Cap,JUSTDIAL,535648,JUSTDIAL
Jyothy Labs Ltd.,Micro Cap,JYOTHYLAB,532926,JYOTHYLAB
Jyoti C N C Automation Ltd.,Small Cap,JYOTICNC,544081,JYOTICNC
K E C International Ltd.,Small Cap,KEC,532714,KEC
K N R Constructions Ltd.,Micro Cap,KNRCON,532942,KNRCON
K P I Green Energy Ltd.,Micro Cap,KPIGREEN,542323,KPIGREEN
K P I T Technologies Ltd.,Mid Cap,KPITTECH,542651,KPITTECH
K P R Mill Ltd.,Mid Cap,KPRMILL,532889,KPRMILL
K R B L Ltd.,Micro Cap,KRBL,530813,KRBL
K R N Heat Exchanger & Refrigeration Ltd.,Micro Cap,KRN,544263,KRN
K S B Ltd.,Micro Cap,KSB,500249,KSB
Kajaria Ceramics Ltd.,Small Cap,KAJARIACER,500233,KAJARIACER
Kalpataru Projects Intl. Ltd.,Small Cap,KPIL,522287,KPIL
Kalyan Jewellers India Ltd.,Mid Cap,KALYANKJIL,543278,KALYANKJIL
Kansai Nerolac Paints Ltd.,Micro Cap,KANSAINER,500165,KANSAINER
Karnataka Bank Ltd.,Micro Cap,KTKBANK,532652,KTKBANK
Karur Vysya Bank Ltd.,Small Cap,KARURVYSYA,590003,KARURVYSYA
Kaveri Seed Co. Ltd.,Micro Cap,KSCL,532899,KSCL
Kaynes Technology India Ltd.,Small Cap,KAYNES,543664,KAYNES
Kei Industries Ltd.,Mid Cap,KEI,517569,KEI
Kfin Technologies Ltd.,Small Cap,KFINTECH,543720,KFINTECH
Kirloskar Brothers Ltd.,Micro Cap,KIRLOSBROS,500241,KIRLOSBROS
Kirloskar Oil Engines Ltd.,Small Cap,KIRLOSENG,533293,KIRLOSENG
Kirloskar Pneumatic Co. Ltd.,Micro Cap,KIRLPNU,505283,KIRLPNU
Kitex Garments Ltd.,Micro Cap,KITEX,521248,KITEX
Kotak Mahindra Bank Ltd.,Large Cap,KOTAKBANK,500247,KOTAKBANK
Krishna Institute Of Medical Sciences Ltd.,Small Cap,KIMS,543308,KIMS
L & T Finance Ltd.,Mid Cap,LTF,533519,LTF
L & T Technology Services Ltd.,Mid Cap,LTTS,540115,LTTS
L G Electronics India Ltd.,Mid Cap,LGEINDIA,544576,LGEINDIA
L I C Housing Finance Ltd.,Mid Cap,LICHSGFIN,500253,LICHSGFIN
L T Foods Ltd.,Small Cap,LTFOODS,532783,LTFOODS
Larsen & Toubro Ltd.,Large Cap,LT,500510,LT
Latent View Analytics Ltd.,Small Cap,LATENTVIEW,543398,LATENTVIEW
Laurus Labs Ltd.,Mid Cap,LAURUSLABS,540222,LAURUSLABS
Laxmi Organic Inds. Ltd.,Micro Cap,LXCHEM,543277,LXCHEM
Le Travenues Technology Ltd.,Micro Cap,IXIGO,544192,IXIGO
Leela Palaces Hotels & Resorts Ltd.,Small Cap,THELEELA,544408,THELEELA
Lemon Tree Hotels Ltd.,Small Cap,LEMONTREE,541233,LEMONTREE
Lenskart Solutions Ltd.,Mid Cap,LENSKART,544600,LENSKART
Life Insurance Corpn. Of India,Mid Cap,LICI,543526,LICI
Linde India Ltd.,Mid Cap,LINDEINDIA,523457,LINDEINDIA
Lloyds Engineering Works Ltd.,Micro Cap,LLOYDSENGG,539992,LLOYDSENGG
Lloyds Enterprises Ltd.,Micro Cap,LLOYDSENT,512463,LLOYDSENT
Lloyds Metals & Energy Ltd.,Mid Cap,LLOYDSME,512455,LLOYDSME
Lodha Developers Ltd.,Large Cap,LODHA,543287,LODHA
Ltm Ltd.,Large Cap,LTM,540005,LTM
Lumax Auto Technologies Ltd.,Micro Cap,LUMAXTECH,532796,LUMAXTECH
Lupin Ltd.,Mid Cap,LUPIN,500257,LUPIN
M M T C Ltd.,Small Cap,MMTC,513377,MMTC
M O I L Ltd.,Micro Cap,MOIL,533286,MOIL
M R F Ltd.,Mid Cap,MRF,500290,MRF
M S T C Ltd.,Micro Cap,MSTCLTD,542597,MSTCLTD
M T A R Technologies Ltd.,Micro Cap,MTARTECH,543270,MTARTECH
Mahanagar Gas Ltd.,Small Cap,MGL,539957,MGL
Maharashtra Scooters Ltd.,Micro Cap,MAHSCOOTER,500266,MAHSCOOTER
Maharashtra Seamless Ltd.,Micro Cap,MAHSEAMLES,500265,MAHSEAMLES
Mahindra & Mahindra Financial Services Ltd.,Mid Cap,M&MFIN,532720,M&MFIN
Mahindra & Mahindra Ltd.,Large Cap,M&M,500520,M&M
Manappuram Finance Ltd.,Small Cap,MANAPPURAM,531213,MANAPPURAM
Mangalore Refinery & Petrochemicals Ltd.,Small Cap,MRPL,500109,MRPL
Mankind Pharma Ltd.,Mid Cap,MANKIND,543904,MANKIND
Manorama Industries Ltd.,Micro Cap,MANORAMA,541974,MANORAMA
Marico Ltd.,Mid Cap,MARICO,531642,MARICO
Marksans Pharma Ltd.,Micro Cap,MARKSANS,524404,MARKSANS
Maruti Suzuki India Ltd.,Large Cap,MARUTI,532500,MARUTI
Mastek Ltd.,Micro Cap,MASTEK,523704,MASTEK
Max Financial Services Ltd.,Mid Cap,MFSL,500271,MFSL
Max Healthcare Institute Ltd.,Large Cap,MAXHEALTH,543220,MAXHEALTH
Mazagon Dock Shipbuilders Ltd.,Large Cap,MAZDOCK,543237,MAZDOCK
Medplus Health Services Ltd.,Micro Cap,MEDPLUS,543427,MEDPLUS
Meesho Ltd.,Small Cap,MEESHO,544632,MEESHO
Metropolis Healthcare Ltd.,Micro Cap,METROPOLIS,542650,METROPOLIS
Minda Corporation Ltd.,Small Cap,MINDACORP,538962,MINDACORP
Mishra Dhatu Nigam Ltd.,Micro Cap,MIDHANI,541195,MIDHANI
Motherson Sumi Wiring India Ltd.,Small Cap,MSUMI,543498,MSUMI
Motilal Oswal Financial Services Ltd.,Mid Cap,MOTILALOFS,532892,MOTILALOFS
Mphasis Ltd.,Mid Cap,MPHASIS,526299,MPHASIS
Mrs. Bectors Food Specialities Ltd.,Micro Cap,BECTORFOOD,543253,BECTORFOOD
Multi Commodity Exchange Of India Ltd.,Mid Cap,MCX,534091,MCX
Muthoot Finance Ltd.,Large Cap,MUTHOOTFIN,533398,MUTHOOTFIN
N B C C (India) Ltd.,Small Cap,NBCC,534309,NBCC
N C C Ltd.,Small Cap,NCC,500294,NCC
N H P C Ltd.,Mid Cap,NHPC,533098,NHPC
N L C India Ltd.,Mid Cap,NLCINDIA,513683,NLCINDIA
N M D C Ltd.,Mid Cap,NMDC,526371,NMDC
N M D C Steel Ltd.,Small Cap,NSLNISP,543768,NSLNISP
N T P C Green Energy Ltd.,Mid Cap,NTPCGREEN,544289,NTPCGREEN
N T P C Ltd.,Large Cap,NTPC,532555,NTPC
Narayana Hrudayalaya Ltd.,Small Cap,NH,539551,NH
Natco Pharma Ltd.,Small Cap,NATCOPHARM,524816,NATCOPHARM
National Aluminium Co. Ltd.,Mid Cap,NATIONALUM,532234,NATIONALUM
National Fertilizers Ltd.,Micro Cap,NFL,523630,NFL
Nava Ltd.,Small Cap,NAVA,513023,NAVA
Navin Fluorine Intl. Ltd.,Small Cap,NAVINFLUOR,532504,NAVINFLUOR
Nazara Technologies Ltd.,Micro Cap,NAZARA,543280,NAZARA
Neogen Chemicals Ltd.,Micro Cap,NEOGEN,542665,NEOGEN
Nesco Ltd.,Micro Cap,NESCO,505355,NESCO
Nestle India Ltd.,Large Cap,NESTLEIND,500790,NESTLEIND
Netweb Technologies India Ltd.,Small Cap,NETWEB,543945,NETWEB
Network18 Media & Invst. Ltd.,Micro Cap,NETWORK18,532798,NETWORK18
Neuland Laboratories Ltd.,Small Cap,NEULANDLAB,524558,NEULANDLAB
New India Assurance Co. Ltd.,Mid Cap,NIACL,540769,NIACL
Newgen Software Technologies Ltd.,Small Cap,NEWGEN,540900,NEWGEN
Nippon Life India Asset Mgmt. Ltd.,Mid Cap,NAM-INDIA,540767,NAM-INDIA
Niva Bupa Health Insurance Co. Ltd.,Small Cap,NIVABUPA,544286,NIVABUPA
Nuvama Wealth Mgmt. Ltd.,Small Cap,NUVAMA,543988,NUVAMA
Nuvoco Vistas Corporation Ltd.,Small Cap,NUVOCO,543334,NUVOCO
Oberoi Realty Ltd.,Mid Cap,OBEROIRLTY,533273,OBEROIRLTY
Oil & Natural Gas Corpn. Ltd.,Large Cap,ONGC,500312,ONGC
Oil India Ltd.,Mid Cap,OIL,533106,OIL
Ola Electric Mobility Ltd.,Small Cap,OLAELEC,544225,OLAELEC
Olectra Greentech Ltd.,Small Cap,OLECTRA,532439,OLECTRA
One 97 Communications Ltd.,Mid Cap,PAYTM,543396,PAYTM
Onesource Specialty Pharma Ltd.,Small Cap,ONESOURCE,544292,ONESOURCE
Optiemus Infracom Ltd.,Micro Cap,OPTIEMUS,530135,OPTIEMUS
Oracle Financial Services Software Ltd.,Mid Cap,OFSS,532466,OFSS
Orient Cement Ltd.,Micro Cap,ORIENTCEM,535754,ORIENTCEM
Orkla India Ltd.,Micro Cap,ORKLAINDIA,544595,ORKLAINDIA
Oswal Pumps Ltd.,Micro Cap,OSWALPUMPS,544418,OSWALPUMPS
P B Fintech Ltd.,Mid Cap,POLICYBZR,543390,POLICYBZR
P C B L Chemical Ltd.,Small Cap,PCBL,506590,PCBL
P C Jeweller Ltd.,Micro Cap,PCJEWELLER,534809,PCJEWELLER
P G Electroplast Ltd.,Small Cap,PGEL,533581,PGEL
P I Industries Ltd.,Mid Cap,PIIND,523642,PIIND
P N B Housing Finance Ltd.,Small Cap,PNBHOUSING,540173,PNBHOUSING
P N C Infratech Ltd.,Micro Cap,PNCINFRA,539150,PNCINFRA
P N Gadgil Jewellers Ltd.,Micro Cap,PNGJL,544256,PNGJL
P T C India Ltd.,Micro Cap,PTC,532524,PTC
P T C Industries Ltd.,Small Cap,PTCIL,539006,PTCIL
P V R Inox Ltd.,Small Cap,PVRINOX,532689,PVRINOX
Page Industries Ltd.,Mid Cap,PAGEIND,532827,PAGEIND
Paradeep Phosphates Ltd.,Small Cap,PARADEEP,543530,PARADEEP
Paras Defence & Space Technologies Ltd.,Micro Cap,PARAS,543367,PARAS
Park Medi World Ltd.,Micro Cap,PARKHOSPS,544645,PARKHOSPS
Patanjali Foods Ltd.,Mid Cap,PATANJALI,500368,PATANJALI
Pearl Global Inds. Ltd.,Micro Cap,PGIL,532808,PGIL
Persistent Systems Ltd.,Mid Cap,PERSISTENT,533179,PERSISTENT
Petronet L N G Ltd.,Mid Cap,PETRONET,532522,PETRONET
Pfizer Ltd.,Small Cap,PFIZER,500680,PFIZER
Phoenix Mills Ltd.,Mid Cap,PHOENIXLTD,503100,PHOENIXLTD
Physicswallah Ltd.,Small Cap,PWL,544609,PWL
Piccadily Agro Inds. Ltd.,Micro Cap,PICCADIL,530305,PICCADIL
Pidilite Industries Ltd.,Large Cap,PIDILITIND,500331,PIDILITIND
Pine Labs Ltd.,Small Cap,PINELABS,544606,PINELABS
Piramal Finance Ltd.,Small Cap,PIRAMALFIN,544597,PIRAMALFIN
Piramal Pharma Ltd.,Small Cap,PPLPHARMA,543635,PPLPHARMA
Poly Medicure Ltd.,Small Cap,POLYMED,531768,POLYMED
Polycab India Ltd.,Mid Cap,POLYCAB,542652,POLYCAB
Poonawalla Fincorp Ltd.,Small Cap,POONAWALLA,524000,POONAWALLA
Power Finance Corpn. Ltd.,Large Cap,PFC,532810,PFC
Power Grid Corpn. Of India Ltd.,Large Cap,POWERGRID,532898,POWERGRID
Power Mech Projects Ltd.,Micro Cap,POWERMECH,539302,POWERMECH
Praj Industries Ltd.,Micro Cap,PRAJIND,522205,PRAJIND
Premier Energies Ltd.,Mid Cap,PREMIERENE,544238,PREMIERENE
Prestige Estates Projects Ltd.,Mid Cap,PRESTIGE,533274,PRESTIGE
Pricol Ltd.,Micro Cap,PRICOLLTD,540293,PRICOLLTD
Prime Focus Ltd.,Small Cap,PFOCUS,532748,PFOCUS
Prism Johnson Ltd.,Micro Cap,PRSMJOHNSN,500338,PRSMJOHNSN
Privi Speciality Chemicals Ltd.,Micro Cap,PRIVISCL,530117,PRIVISCL
Prudent Corporate Advisory Services Ltd.,Micro Cap,PRUDENT,543527,PRUDENT
Punjab National Bank,Large Cap,PNB,532461,PNB
Puravankara Ltd.,Micro Cap,PURVA,532891,PURVA
Quality Power Electrical Equipments Ltd.,Micro Cap,QPOWER,544367,QPOWER
Quess Corp Ltd.,Micro Cap,QUESS,539978,QUESS
R B L Bank Ltd.,Small Cap,RBLBANK,540065,RBLBANK
R E C Ltd.,Large Cap,RECLTD,532955,RECLTD
R H I Magnesita India Ltd.,Small Cap,RHIM,534076,RHIM
R R Kabel Ltd.,Small Cap,RRKABEL,543981,RRKABEL
Radico Khaitan Ltd.,Mid Cap,RADICO,532497,RADICO
Rail Vikas Nigam Ltd.,Mid Cap,RVNL,542649,RVNL
Railtel Corporation Of India Ltd.,Small Cap,RAILTEL,543265,RAILTEL
Rain Industries Ltd.,Micro Cap,RAIN,500339,RAIN
Rainbow Children'S Medicare Ltd.,Small Cap,RAINBOW,543524,RAINBOW
Rallis India Ltd.,Micro Cap,RALLIS,500355,RALLIS
Ramco Cements Ltd.,Small Cap,RAMCOCEM,500260,RAMCOCEM
Ramkrishna Forgings Ltd.,Small Cap,RKFORGE,532527,RKFORGE
Rashtriya Chemicals & Fertilizers Ltd.,Micro Cap,RCF,524230,RCF
Rategain Travel Technologies Ltd.,Micro Cap,RATEGAIN,543417,RATEGAIN
Ratnamani Metals & Tubes Ltd.,Micro Cap,RATNAMANI,520111,RATNAMANI
Rattanindia Enterprises Ltd.,Micro Cap,RTNINDIA,534597,RTNINDIA
Rattanindia Power Ltd.,Micro Cap,RTNPOWER,533122,RTNPOWER
Raymond Lifestyle Ltd. (2018),Micro Cap,RAYMONDLSL,544240,RAYMONDLSL
Redington Ltd.,Small Cap,REDINGTON,532805,REDINGTON
Redtape Ltd.,Micro Cap,REDTAPE,543957,REDTAPE
Refex Industries Ltd.,Micro Cap,REFEX,532884,REFEX
Relaxo Footwears Ltd.,Micro Cap,RELAXO,530517,RELAXO
Reliance Industries Ltd.,Large Cap,RELIANCE,500325,RELIANCE
Reliance Power Ltd.,Small Cap,RPOWER,532939,RPOWER
Religare Enterprises Ltd.,Micro Cap,RELIGARE,532915,RELIGARE
Restaurant Brands Asia Ltd.,Micro Cap,RBA,543248,RBA
Rites Ltd.,Small Cap,RITES,541556,RITES
Route Mobile Ltd.,Micro Cap,ROUTE,543228,ROUTE
Rubicon Research Ltd.,Micro Cap,RUBICON,544578,RUBICON
S B F C Finance Ltd.,Small Cap,SBFC,543959,SBFC
S B I Cards & Payment Services Ltd.,Mid Cap,SBICARD,543066,SBICARD
S B I Life Insurance Co. Ltd.,Large Cap,SBILIFE,540719,SBILIFE
S J V N Ltd.,Mid Cap,SJVN,533206,SJVN
S K F India (Industrial) Ltd.,Micro Cap,SKFINDUS,544572,SKFINDUS
S K F India Ltd.,Micro Cap,SKFINDIA,500472,SKFINDIA
S M L Mahindra Ltd.,Micro Cap,SMLMAH,505192,SMLMAH
S R F Ltd.,Mid Cap,SRF,503806,SRF
Saatvik Green Energy Ltd.,Micro Cap,SAATVIKGL,544526,SAATVIKGL
Safari Industries (India) Ltd.,Micro Cap,SAFARI,523025,SAFARI
Sagility Ltd.,Small Cap,SAGILITY,544282,SAGILITY
Sai Life Sciences Ltd.,Small Cap,SAILIFE,544306,SAILIFE
Samhi Hotels Ltd.,Micro Cap,SAMHI,543984,SAMHI
Sammaan Capital Ltd.,Small Cap,SAMMAANCAP,535789,SAMMAANCAP
Samvardhana Motherson Intl. Ltd.,Large Cap,MOTHERSON,517334,MOTHERSON
Sandur Manganese & Iron Ores Ltd.,Micro Cap,SANDUMA,504918,SANDUMA
Sanofi Consumer Healthcare India Ltd.,Micro Cap,SANOFICONR,544250,SANOFICONR
Sansera Engineering Ltd.,Micro Cap,SANSERA,543358,SANSERA
Sapphire Foods India Ltd.,Small Cap,SAPPHIRE,543397,SAPPHIRE
Sarda Energy & Minerals Ltd.,Small Cap,SARDAEN,504614,SARDAEN
Saregama India Ltd.,Small Cap,SAREGAMA,532163,SAREGAMA
Schaeffler India Ltd.,Mid Cap,SCHAEFFLER,505790,SCHAEFFLER
Schneider Electric Infrastructure Ltd.,Small Cap,SCHNEIDER,534139,SCHNEIDER
Senco Gold Ltd.,Micro Cap,SENCO,543936,SENCO
Seshaasai Technologies Ltd.,Micro Cap,STYL,544533,STYL
Shaily Engineering Plastics Ltd.,Micro Cap,SHAILY,501423,SHAILY
Shakti Pumps (India) Ltd.,Micro Cap,SHAKTIPUMP,531431,SHAKTIPUMP
Sharda Cropchem Ltd.,Micro Cap,SHARDACROP,538666,SHARDACROP
Share India Securities Ltd.,Micro Cap,SHAREINDIA,540725,SHAREINDIA
Sheela Foam Ltd.,Micro Cap,SFL,540203,SFL
Shilpa Medicare Ltd.,Micro Cap,SHILPAMED,530549,SHILPAMED
Shipping Corpn. Of India Ltd.,Small Cap,SCI,523598,SCI
Shree Cement Ltd.,Large Cap,SHREECEM,500387,SHREECEM
Shree Renuka Sugars Ltd.,Micro Cap,RENUKA,532670,RENUKA
Shriram Finance Ltd.,Large Cap,SHRIRAMFIN,511218,SHRIRAMFIN
Shyam Metalics & Energy Ltd.,Small Cap,SHYAMMETL,543299,SHYAMMETL
Siemens Energy India Ltd.,Large Cap,ENRIN,544390,ENRIN
Siemens Ltd.,Large Cap,SIEMENS,500550,SIEMENS
Signatureglobal (India) Ltd.,Small Cap,SIGNATURE,543990,SIGNATURE
Skipper Ltd.,Micro Cap,SKIPPER,538562,SKIPPER
Sky Gold & Diamonds Ltd.,Micro Cap,SKYGOLD,541967,SKYGOLD
Smartworks Coworking Spaces Ltd.,Micro Cap,SMARTWORKS,544447,SMARTWORKS
Sobha Ltd.,Small Cap,SOBHA,532784,SOBHA
Solar Industries India Ltd.,Large Cap,SOLARINDS,532725,SOLARINDS
Sona B L W Precision Forgings Ltd.,Small Cap,SONACOMS,543300,SONACOMS
Sonata Software Ltd.,Small Cap,SONATSOFTW,532221,SONATSOFTW
South Indian Bank Ltd.,Micro Cap,SOUTHBANK,532218,SOUTHBANK
Spr Auto Technologies Ltd.,Micro Cap,SHRIPISTON,544344,SHRIPISTON
Sri Lotus Developers & Realty Ltd.,Micro Cap,LOTUSDEV,544469,LOTUSDEV
Star Cement Ltd.,Micro Cap,STARCEMENT,540575,STARCEMENT
Star Health & Allied Insurance Co. Ltd.,Small Cap,STARHEALTH,543412,STARHEALTH
State Bank Of India,Large Cap,SBIN,500112,SBIN
Steel Authority Of India Ltd.,Mid Cap,SAIL,500113,SAIL
Sterling & Wilson Renewable Energy Ltd.,Micro Cap,SWSOLAR,542760,SWSOLAR
Sterlite Technologies Ltd.,Micro Cap,STLTECH,532374,STLTECH
Strides Pharma Science Ltd.,Micro Cap,STAR,532531,STAR
Styrenix Performance Materials Ltd.,Micro Cap,STYRENIX,506222,STYRENIX
Subros Ltd.,Micro Cap,SUBROS,517168,SUBROS
Sudarshan Chemical Inds. Ltd.,Micro Cap,SUDARSCHEM,506655,SUDARSCHEM
Sudeep Pharma Ltd.,Micro Cap,SUDEEPPHRM,544619,SUDEEPPHRM
Sumitomo Chemical India Ltd.,Small Cap,SUMICHEM,542920,SUMICHEM
Sun Pharma Advanced Research Co. Ltd.,Micro Cap,SPARC,532872,SPARC
Sun Pharmaceutical Inds. Ltd.,Large Cap,SUNPHARMA,524715,SUNPHARMA
Sun T V Network Ltd.,Small Cap,SUNTV,532733,SUNTV
Sundaram Finance Ltd.,Mid Cap,SUNDARMFIN,590071,SUNDARMFIN
Sunteck Realty Ltd.,Micro Cap,SUNTECK,512179,SUNTECK
Supreme Industries Ltd.,Mid Cap,SUPREMEIND,509930,SUPREMEIND
Supreme Petrochem Ltd.,Small Cap,SPLPETRO,500405,SPLPETRO
Supriya Lifescience Ltd.,Micro Cap,SUPRIYA,543434,SUPRIYA
Surya Roshni Ltd.,Micro Cap,SURYAROSNI,500336,SURYAROSNI
Suzlon Energy Ltd.,Mid Cap,SUZLON,532667,SUZLON
Swan Corp Ltd.,Small Cap,SWANCORP,503310,SWANCORP
Swiggy Ltd.,Mid Cap,SWIGGY,544285,SWIGGY
Syngene International Ltd.,Small Cap,SYNGENE,539268,SYNGENE
Syrma S G S Technology Ltd.,Small Cap,SYRMA,543573,SYRMA
T A R C Ltd.,Micro Cap,TARC,543249,TARC
T B O Tek Ltd.,Small Cap,TBOTEK,544174,TBOTEK
T D Power Systems Ltd.,Micro Cap,TDPOWERSYS,533553,TDPOWERSYS
T S F Investments Ltd.,Micro Cap,TSFINV,,
T V S Motor Co. Ltd.,Large Cap,TVSMOTOR,532343,TVSMOTOR
T V S Supply Chain Solutions Ltd.,Micro Cap,TVSSCS,543965,TVSSCS
Tamilnad Mercantile Bank Ltd.,Micro Cap,TMB,543596,TMB
Tanla Platforms Ltd.,Micro Cap,TANLA,532790,TANLA
Tata Capital Ltd.,Large Cap,TATACAP,544574,TATACAP
Tata Chemicals Ltd.,Small Cap,TATACHEM,500770,TATACHEM
Tata Communications Ltd.,Mid Cap,TATACOMM,500483,TATACOMM
Tata Consultancy Services Ltd.,Large Cap,TCS,532540,TCS
Tata Consumer Products Ltd.,Large Cap,TATACONSUM,500800,TATACONSUM
Tata Elxsi Ltd.,Mid Cap,TATAELXSI,500408,TATAELXSI
Tata Investment Corpn. Ltd.,Mid Cap,TATAINVEST,501301,TATAINVEST
Tata Motors Ltd.,Large Cap,TMCV,544569,TMCV
Tata Motors Passenger Vehicles Ltd.,Large Cap,TMPV,500570,TMPV
Tata Power Co. Ltd.,Large Cap,TATAPOWER,500400,TATAPOWER
Tata Steel Ltd.,Large Cap,TATASTEEL,500470,TATASTEEL
Tata Technologies Ltd.,Small Cap,TATATECH,544028,TATATECH
Tata Teleservices (Maharashtra) Ltd.,Small Cap,TTML,532371,TTML
Tech Mahindra Ltd.,Large Cap,TECHM,532755,TECHM
Techno Electric & Engg. Co. Ltd.,Small Cap,TECHNOE,542141,TECHNOE
Tega Industries Ltd.,Small Cap,TEGA,543413,TEGA
Tejas Networks Ltd.,Small Cap,TEJASNET,540595,TEJASNET
Tenneco Clean Air India Ltd.,Small Cap,TENNIND,544612,TENNIND
Texmaco Rail & Engg. Ltd.,Micro Cap,TEXRAIL,533326,TEXRAIL
Thangamayil Jewellery Ltd.,Micro Cap,THANGAMAYL,533158,THANGAMAYL
Thermax Ltd.,Mid Cap,THERMAX,500411,THERMAX
Thomas Cook (India) Ltd.,Micro Cap,THOMASCOOK,500413,THOMASCOOK
Thyrocare Technologies Ltd.,Micro Cap,THYROCARE,539871,THYROCARE
Tilaknagar Industries Ltd.,Micro Cap,TI,507205,TI
Time Technoplast Ltd.,Micro Cap,TIMETECHNO,532856,TIMETECHNO
Timken India Ltd.,Small Cap,TIMKEN,522113,TIMKEN
Tips Music Ltd.,Micro Cap,TIPSMUSIC,532375,TIPSMUSIC
Titagarh Rail Systems Ltd.,Small Cap,TITAGARH,532966,TITAGARH
Titan Company Ltd.,Large Cap,TITAN,500114,TITAN
Torrent Pharmaceuticals Ltd.,Large Cap,TORNTPHARM,500420,TORNTPHARM
Torrent Power Ltd.,Mid Cap,TORNTPOWER,532779,TORNTPOWER
Transformers & Rectifiers (India) Ltd.,Small Cap,TARIL,532928,TARIL
Transrail Lighting Ltd.,Micro Cap,TRANSRAILL,544317,TRANSRAILL
Travel Food Services Ltd.,Small Cap,TRAVELFOOD,544443,TRAVELFOOD
Trent Ltd.,Large Cap,TRENT,500251,TRENT
Trident Ltd.,Small Cap,TRIDENT,521064,TRIDENT
Triveni Engineering & Inds. Ltd.,Micro Cap,TRIVENI,532356,TRIVENI
Triveni Turbine Ltd.,Small Cap,TRITURBINE,533655,TRITURBINE
Tube Investments Of India Ltd.,Mid Cap,TIINDIA,540762,TIINDIA
U P L Ltd.,Mid Cap,UPL,512070,UPL
U T I Asset Mgmt. Co. Ltd.,Small Cap,UTIAMC,543238,UTIAMC
Uco Bank,Small Cap,UCOBANK,532505,UCOBANK
Ujjivan Small Finance Bank Ltd.,Micro Cap,UJJIVANSFB,542904,UJJIVANSFB
Ultratech Cement Ltd.,Large Cap,ULTRACEMCO,532538,ULTRACEMCO
Union Bank Of India,Large Cap,UNIONBANK,532477,UNIONBANK
United Breweries Ltd.,Mid Cap,UBL,532478,UBL
United Spirits Ltd.,Large Cap,UNITDSPR,532432,UNITDSPR
Uno Minda Ltd.,Mid Cap,UNOMINDA,532539,UNOMINDA
Urban Company Ltd.,Small Cap,URBANCO,544515,URBANCO
Usha Martin Ltd.,Small Cap,USHAMART,517146,USHAMART
V 2 Retail Ltd.,Micro Cap,V2RETAIL,532867,V2RETAIL
V A Tech Wabag Ltd.,Micro Cap,WABAG,533269,WABAG
V I P Industries Ltd.,Micro Cap,VIPIND,507880,VIPIND
Vaibhav Global Ltd.,Micro Cap,VAIBHAVGBL,532156,VAIBHAVGBL
Valor Estate Ltd.,Micro Cap,DBREALTY,533160,DBREALTY
Vardhman Textiles Ltd.,Small Cap,VTL,502986,VTL
Varroc Engineering Ltd.,Micro Cap,VARROC,541578,VARROC
Varun Beverages Ltd.,Large Cap,VBL,540180,VBL
Vedant Fashions Ltd.,Micro Cap,MANYAVAR,543463,MANYAVAR
