company,market_type,symbol,bse_code,bse_id
Advanced Enzyme Technologies Ltd.,Micro Cap,ADVENZYMES,540025,ADVENZYMES
Aegis Logistics Ltd.,Small Cap,AEGISLOG,500003,AEGISLOG
Aegis Vopak Terminals Ltd.,Small Cap,AEGISVOPAK,544407,AEGISVOPAK
Aequs Ltd.,Micro Cap,AEQUS,544634,AEQUS
Aether Industries Ltd.,Micro Cap,AETHER,543534,AETHER
Afcons Infrastructure Ltd.,Small Cap,AFCONS,544280,AFCONS
Affle 3I Ltd.,Small Cap,AFFLE,542752,AFFLE
Ahluwalia Contracts (India) Ltd.,Micro Cap,AHLUCONT,532811,AHLUCONT
Ajanta Pharma Ltd.,Mid Cap,AJANTPHARM,532331,AJANTPHARM
Akums Drugs & Pharmaceuticals Ltd.,Micro Cap,AKUMS,544222,AKUMS
Alembic Pharmaceuticals Ltd.,Micro Cap,APLLTD,533573,APLLTD
Alivus Life Sciences Ltd.,Micro Cap,ALIVUS,543322,ALIVUS
Alkem Laboratories Ltd.,Mid Cap,ALKEM,539523,ALKEM
Alkyl Amines Chemicals Ltd.,Micro Cap,ALKYLAMINE,506767,ALKYLAMINE
Allcargo Global Ltd.,Micro Cap,AGL,544602,AGL
Allied Blenders & Distillers Ltd.,Small Cap,ABDL,544203,ABDL
Alok Industries Ltd.,Micro Cap,ALOKINDS,521070,ALOKINDS
Amara Raja Energy & Mobility Ltd.,Small Cap,ARE&M,500008,ARE&M
Amber Enterprises India Ltd.,Small Cap,AMBER,540902,AMBER
Ambuja Cements Ltd.,Large Cap,AMBUJACEM,500425,AMBUJACEM
Anand Rathi Wealth Ltd.,Small Cap,ANANDRATHI,543415,ANANDRATHI
Anant Raj Ltd.,Small Cap,ANANTRAJ,515055,ANANTRAJ
Angel One Ltd.,Small Cap,ANGELONE,543235,ANGELONE
Anthem Biosciences Ltd.,Mid Cap,ANTHEM,544449,ANTHEM
Anup Engineering Ltd.,Micro Cap,ANUP,542460,ANUP
Anupam Rasayan India Ltd.,Small Cap,ANURAS,543275,ANURAS
Apar Industries Ltd.,Mid Cap,APARINDS,532259,APARINDS
Apollo Hospitals Enterprise Ltd.,Large Cap,APOLLOHOSP,508869,APOLLOHOSP
Apollo Micro Systems Ltd.,Micro Cap,APOLLO,540879,APOLLO
Apollo Tyres Ltd.,Mid Cap,APOLLOTYRE,500877,APOLLOTYRE
Aptus Value Housing Finance India Ltd.,Small Cap,APTUS,543335,APTUS
Archean Chemical Inds. Ltd.,Micro Cap,ACI,543657,ACI
Arvind Fashions Ltd.,Micro Cap,ARVINDFASN,542484,ARVINDFASN
Arvind Ltd.,Micro Cap,ARVIND,500101,ARVIND
Asahi India Glass Ltd.,Small Cap,ASAHIINDIA,515030,ASAHIINDIA
Ashapura Minechem Ltd.,Micro Cap,ASHAPURMIN,527001,ASHAPURMIN
Ashok Leyland Ltd.,Mid Cap,ASHOKLEY,500477,ASHOKLEY
Ashoka Buildcon Ltd.,Micro Cap,ASHOKA,533271,ASHOKA
Asian Paints Ltd.,Large Cap,ASIANPAINT,500820,ASIANPAINT
Aster D M Healthcare Ltd.,Small Cap,ASTERDM,540975,ASTERDM
Astra Microwave Products Ltd.,Micro Cap,ASTRAMICRO,532493,ASTRAMICRO
Astral Ltd.,Mid Cap,ASTRAL,532830,ASTRAL
Ather Energy Ltd.,Small Cap,ATHERENERG,544397,ATHERENERG
Atlanta Electricals Ltd.,Micro Cap,ATLANTAELE,544527,ATLANTAELE
Atul Ltd.,Small Cap,ATUL,500027,ATUL
Aurionpro Solutions Ltd.,Micro Cap,AURIONPRO,532668,AURIONPRO
Aurobindo Pharma Ltd.,Mid Cap,AUROPHARMA,524804,AUROPHARMA
