symbol,market_type,trigger_date,entry_date,entry_price,target_ath,exit_date,exit_price,reason,ret_pct,exit_value,hold_days
BANKINDIA,Mid Cap,2012-05-30,2012-05-31,315.04998779296875,575.75,2015-05-29,197.1999969482422,TIME_STOP,-37.40675937501392,62593.24062498607,1093
CCL,Small Cap,2012-05-30,2012-05-31,19.875,52.915000915527344,2014-04-01,52.915000915527344,ATH_TARGET,166.23899831711873,266238.99831711873,670
CEATLTD,Small Cap,2012-05-30,2012-05-31,93.5999984741211,192.25,2013-11-05,192.25,ATH_TARGET,105.39530249367903,205395.30249367905,523
CESC,Small Cap,2012-05-30,2012-05-31,26.295000076293945,70.05000305175781,2014-06-30,70.05000305175781,ATH_TARGET,166.4004671934223,266400.46719342226,760
ENGINERSIN,Small Cap,2012-05-30,2012-05-31,112.92500305175781,253.64999389648438,2015-05-29,105.32499694824219,TIME_STOP,-6.730135840715679,93269.86415928432,1093
FINCABLES,Small Cap,2012-05-30,2012-05-31,36.0,126.0,2014-04-15,126.0,ATH_TARGET,250.0,350000.0,684
GMDCLTD,Small Cap,2012-05-30,2012-05-31,178.4499969482422,307.04998779296875,2015-05-29,99.4000015258789,TIME_STOP,-44.29812091579414,55701.87908420586,1093
HINDCOPPER,Small Cap,2012-05-30,2012-05-31,255.0,612.0499877929688,2015-05-29,62.0,TIME_STOP,-75.68627450980392,24313.725490196077,1093
IDBI,Small Cap,2012-05-30,2012-05-31,86.0,198.5500030517578,2015-05-29,71.30000305175781,TIME_STOP,-17.09301970725836,82906.98029274165,1093
IOB,Small Cap,2012-05-30,2012-05-31,79.4000015258789,217.10000610351562,2015-05-29,43.20000076293945,TIME_STOP,-45.59193963131192,54408.06036868808,1093
IOC,Large Cap,2012-05-30,2012-05-31,41.84166717529297,74.95833587646484,2015-05-29,59.36666488647461,TIME_STOP,41.884080855960626,141884.0808559606,1093
JKCEMENT,Mid Cap,2012-05-30,2012-05-31,134.9499969482422,248.85000610351562,2012-09-07,248.85000610351562,ATH_TARGET,84.40163892627422,184401.6389262742,99
KEI,Mid Cap,2012-05-30,2012-05-31,17.5,158.5,2015-05-29,73.69999694824219,TIME_STOP,321.1428397042411,421142.8397042411,1093
LT,Large Cap,2012-05-30,2012-05-31,522.3555297851562,1001.4888916015625,2014-05-19,1001.4888916015625,ATH_TARGET,91.72552686739486,191725.52686739486,718
LTFOODS,Small Cap,2012-05-30,2012-05-31,3.812070608139038,10.735265731811523,2014-04-04,10.735265731811523,ATH_TARGET,181.61245777795875,281612.4577779587,673
MRPL,Small Cap,2012-05-30,2012-05-31,55.29999923706055,144.5,2015-05-29,70.5,TIME_STOP,27.486439371870432,127486.43937187042,1093
PNB,Large Cap,2012-05-30,2012-05-31,144.8000030517578,277.0799865722656,2015-05-29,153.64999389648438,TIME_STOP,6.111872001524188,106111.8720015242,1093
SARDAEN,Small Cap,2012-05-30,2012-05-31,12.600000381469727,36.88999938964844,2014-08-14,36.88999938964844,ATH_TARGET,192.77776406976113,292777.76406976115,805
UNIONBANK,Large Cap,2012-05-30,2012-05-31,195.8000030517578,417.8999938964844,2015-05-29,173.39999389648438,TIME_STOP,-11.440249645630606,88559.75035436939,1093
WELSPUNLIV,Small Cap,2012-05-30,2012-05-31,5.090000152587891,14.03499984741211,2014-05-20,14.03499984741211,ATH_TARGET,175.7367274395138,275736.72743951384,719
JINDALSTEL,Large Cap,2012-05-31,2012-06-01,441.0,750.0499877929688,2015-06-01,116.69999694824219,TIME_STOP,-73.53741565799497,26462.58434200503,1095
BANKBARODA,Large Cap,2012-08-27,2012-08-28,123.80000305175781,208.36000061035156,2014-11-17,208.36000061035156,ATH_TARGET,68.30371201464449,168303.7120146445,811
CHOLAFIN,Large Cap,2012-08-29,2012-08-30,38.560001373291016,73.98999786376953,2014-05-22,73.98999786376953,ATH_TARGET,91.88276770918237,191882.76770918237,630
IGL,Small Cap,2012-08-29,2012-08-30,24.329999923706055,44.70000076293945,2014-11-13,44.70000076293945,ATH_TARGET,83.72380149243564,183723.80149243562,805
IRB,Small Cap,2012-08-29,2012-08-30,6.085000038146973,15.420000076293945,2015-08-28,11.917499542236328,TIME_STOP,95.85044318036668,195850.44318036668,1093
PHOENIXLTD,Mid Cap,2012-08-29,2012-08-30,82.0,283.1692199707031,2015-08-28,169.39999389648438,TIME_STOP,106.5853584103468,206585.3584103468,1093
RECLTD,Large Cap,2012-08-29,2012-08-30,71.55000305175781,149.75625610351562,2015-08-28,93.5250015258789,TIME_STOP,30.71278481738824,130712.78481738824,1093
TECHM,Large Cap,2012-08-29,2012-08-30,205.0,495.20001220703125,2014-06-09,495.20001220703125,ATH_TARGET,141.5609815644055,241560.9815644055,648
ZENSARTECH,Small Cap,2012-08-29,2012-08-30,50.41999816894531,100.8949966430664,2014-09-11,100.8949966430664,ATH_TARGET,100.1090843061745,200109.08430617448,742
CHAMBLFERT,Small Cap,2012-11-29,2012-11-30,67.0999984741211,116.5,2015-11-30,63.150001525878906,TIME_STOP,-5.8867318003972935,94113.26819960271,1095
