symbol,quarter_label,net_sales_cr,pat_cr,diluted_eps,source_url,pulled_at
AARTIDRUGS,Mar 2026,632,45,4.93,https://www.screener.in/company/AARTIDRUGS/,2026-08-16T07:14:15
AARTIDRUGS,Jun 2026,627,51,5.57,https://www.screener.in/company/AARTIDRUGS/,2026-08-16T07:14:15
AARTIIND,Jun 2023,1404,71,1.96,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Sep 2023,1450,91,2.51,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Dec 2023,1724,124,3.42,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Mar 2024,1769,132,3.64,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Jun 2024,1845,138,3.81,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Sep 2024,1717,55,1.52,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Dec 2024,1749,47,1.30,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Mar 2025,1992,99,2.73,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Jun 2025,1636,44,1.21,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Sep 2025,2084,102,2.81,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Dec 2025,2276,131,3.61,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Mar 2026,2439,147,4.05,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIIND,Jun 2026,2241,144,3.97,https://www.screener.in/company/AARTIIND/,2026-08-16T07:14:15
AARTIPHARM,Jun 2023,358,48,5.26,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Sep 2023,356,42,4.61,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Dec 2023,373,48,5.32,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Mar 2024,415,63,6.95,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Jun 2024,393,47,5.20,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Sep 2024,377,48,5.28,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Dec 2024,471,74,8.11,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Mar 2025,530,89,9.80,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Jun 2025,375,51,5.65,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Sep 2025,417,31,3.41,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Dec 2025,425,44,4.84,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Mar 2026,580,62,6.84,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AARTIPHARM,Jun 2026,535,71,7.86,https://www.screener.in/company/AARTIPHARM/,2026-08-16T07:14:15
AAVAS,Jun 2023,467,110,13.87,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Sep 2023,497,122,15.38,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Dec 2023,508,117,14.74,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Mar 2024,546,143,18.02,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Jun 2024,542,126,15.93,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Sep 2024,579,148,18.69,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Dec 2024,597,146,18.50,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Mar 2025,636,154,19.42,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Jun 2025,628,139,17.59,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Sep 2025,667,164,20.71,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Dec 2025,674,170,21.48,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Mar 2026,715,182,22.91,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
AAVAS,Jun 2026,709,171,21.60,https://www.screener.in/company/AAVAS/,2026-08-16T07:14:15
ABB,Jun 2023,2509,296,13.95,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Sep 2023,2769,363,17.12,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Dec 2023,2757,339,15.98,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Mar 2024,3080,459,21.67,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Jun 2024,2831,443,20.93,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Sep 2024,2912,440,20.79,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Dec 2024,3365,528,24.94,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Mar 2025,3010,475,22.40,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Jun 2025,2940,352,16.60,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Sep 2025,3311,409,19.30,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Dec 2025,3423,433,20.43,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Mar 2026,3184,1784,84.17,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABB,Jun 2026,3559,362,17.10,https://www.screener.in/company/ABB/,2026-08-16T07:14:15
ABBOTINDIA,Jun 2023,1479,290,136.59,https://www.screener.in/company/ABBOTINDIA/,2026-08-16T07:14:15
