symbol,trigger_date,entry_date,entry_price,target_ath,trigger_close,exit_date,exit_price,reason,ret_pct,dd
ITCHOTELS,2026-06-02,2026-06-03,152.5,254.75,152.63,2026-09-04,161.23,DATA_END,5.724590163934429,40.09
SOBHA,2026-06-08,2026-06-09,1293.2,2181.15,1292.7,2026-09-04,1263.8,DATA_END,-2.2734302505412973,40.73
ICICIPRULI,2026-06-10,2026-06-11,465.4,791.05,465.8,2026-09-04,494.55,DATA_END,6.263429308122048,41.12
LEMONTREE,2026-06-11,2026-06-12,104.29,177.93,103.68,2026-09-04,104.95,DATA_END,0.6328507047655529,41.73
HCLTECH,2026-07-14,2026-07-15,1157.0,1995.1,1166.7,2026-09-04,1293.4,DATA_END,11.789109766637873,41.52
NSLNISP,2026-07-22,2026-07-23,42.24,70.9,42.24,2026-09-04,46.02,DATA_END,8.948863636363647,40.42
SAPPHIRE,2026-07-24,2026-07-27,181.0,381.6,179.12,2026-09-04,228.43,DATA_END,26.204419889502773,53.06
UTIAMC,2026-07-24,2026-07-27,895.0,1475.4,881.4,2026-09-04,880.55,DATA_END,-1.614525139664813,40.26
DEVYANI,2026-07-29,2026-07-30,119.06,224.7,118.36,2026-09-04,139.28,DATA_END,16.983033764488486,47.33
AARTIIND,2026-07-30,2026-07-31,504.0,1156.55,480.2,2026-09-04,492.05,DATA_END,-2.3710317460317487,58.48
PCBL,2026-07-30,2026-07-31,328.0,577.6,328.0,2026-09-04,317.0,DATA_END,-3.353658536585369,43.21
BLUEDART,2026-07-31,2026-08-03,5560.0,9369.45,5160.3,2026-09-04,4991.7,DATA_END,-10.221223021582738,44.92
DEEPAKNTR,2026-08-04,2026-08-05,1845.0,3102.6,1717.7,2026-09-04,1712.4,DATA_END,-7.186991869918691,44.64
TRENT,2026-08-06,2026-08-07,3106.5,5489.97,3107.1,2026-09-04,2853.0,DATA_END,-8.160309029454371,43.4
OIL,2026-08-07,2026-08-10,450.0,741.0,442.8,2026-09-04,488.3,DATA_END,8.511111111111113,40.24
GODREJCP,2026-08-12,2026-08-13,911.4,1516.7,910.0,2026-09-04,878.0,DATA_END,-3.6646916831248655,40.0
DABUR,2026-08-19,2026-08-20,402.1,667.55,399.75,2026-09-04,380.9,DATA_END,-5.272320318328783,40.12
VBL,2026-08-31,2026-09-01,404.45,674.12,400.45,2026-09-04,407.6,DATA_END,0.7788354555569477,40.6
NTPCGREEN,2026-09-02,2026-09-03,88.25,148.61,88.12,2026-09-04,89.36,DATA_END,1.2577903682719604,40.7
