signal_id,symbol,market_type,trigger_date,entry_date,entry_price,target_ath,trigger_close,drawdown_pct,first_published,record,exit_date,exit_price,exit_reason,status
BIRLACORPN@2026-06-01,BIRLACORPN,Micro Cap,2026-06-01,2026-06-02,982.0,1767.1,982.0,-44.43,2026-09-05,reconstructed,,,,OPEN
CRIZAC@2026-06-01,CRIZAC,Micro Cap,2026-06-01,2026-06-02,220.99,374.25,215.98,-42.29,2026-09-05,reconstructed,,,,OPEN
FINPIPE@2026-06-01,FINPIPE,Micro Cap,2026-06-01,2026-06-02,176.5,350.3,177.97,-49.19,2026-09-05,reconstructed,,,,OPEN
GNFC@2026-06-01,GNFC,Micro Cap,2026-06-01,2026-06-02,495.0,902.85,499.3,-44.7,2026-09-05,reconstructed,,,,OPEN
JKPAPER@2026-06-01,JKPAPER,Micro Cap,2026-06-01,2026-06-02,361.7,633.75,361.7,-42.93,2026-09-05,reconstructed,,,,OPEN
MSTCLTD@2026-06-01,MSTCLTD,Micro Cap,2026-06-01,2026-06-02,445.0,1107.45,444.3,-59.88,2026-09-05,reconstructed,,,,OPEN
OPTIEMUS@2026-06-01,OPTIEMUS,Micro Cap,2026-06-01,2026-06-02,395.95,851.2,395.95,-53.48,2026-09-05,reconstructed,,,,OPEN
REFEX@2026-06-01,REFEX,Micro Cap,2026-06-01,2026-06-02,304.1,573.75,307.7,-46.37,2026-09-05,reconstructed,,,,OPEN
RELAXO@2026-06-01,RELAXO,Micro Cap,2026-06-01,2026-06-02,321.0,1436.2,327.8,-77.18,2026-09-05,reconstructed,,,,OPEN
SUBROS@2026-06-01,SUBROS,Micro Cap,2026-06-01,2026-06-02,711.5,1194.2,710.15,-40.53,2026-09-05,reconstructed,,,,OPEN
SUDARSCHEM@2026-06-01,SUDARSCHEM,Micro Cap,2026-06-01,2026-06-02,898.55,1523.8,906.6,-40.5,2026-09-05,reconstructed,,,,OPEN
TSFINV@2026-06-01,TSFINV,Micro Cap,2026-06-01,2026-06-02,401.65,690.4,399.65,-42.11,2026-09-05,reconstructed,,,,OPEN
VGUARD@2026-06-01,VGUARD,Micro Cap,2026-06-01,2026-06-02,299.05,524.15,300.2,-42.73,2026-09-05,reconstructed,,,,OPEN
CSBBANK@2026-06-25,CSBBANK,Micro Cap,2026-06-25,2026-06-29,327.05,557.45,324.6,-41.77,2026-09-05,reconstructed,,,,OPEN
JSFB@2026-07-08,JSFB,Micro Cap,2026-07-08,2026-07-09,442.0,736.2,441.2,-40.07,2026-09-05,reconstructed,,,,OPEN
CMSINFO@2026-08-11,CMSINFO,Micro Cap,2026-08-11,2026-08-12,263.05,605.2,266.1,-56.03,2026-09-05,reconstructed,,,,OPEN
KANSAINER@2026-08-11,KANSAINER,Micro Cap,2026-08-11,2026-08-12,212.97,446.033,212.26,-52.41,2026-09-05,reconstructed,,,,OPEN
PNCINFRA@2026-08-11,PNCINFRA,Micro Cap,2026-08-11,2026-08-12,223.4,559.3,222.4,-60.24,2026-09-05,reconstructed,,,,OPEN
SAFARI@2026-08-11,SAFARI,Micro Cap,2026-08-11,2026-08-12,1502.0,2723.75,1500.2,-44.92,2026-09-05,reconstructed,,,,OPEN
SHAREINDIA@2026-08-11,SHAREINDIA,Micro Cap,2026-08-11,2026-08-12,167.99,399.49,167.56,-58.06,2026-09-05,reconstructed,,,,OPEN
STYRENIX@2026-08-24,STYRENIX,Micro Cap,2026-08-24,2026-08-25,2096.0,3466.8,2076.4,-40.11,2026-09-05,reconstructed,,,,OPEN
ACI@2026-08-26,ACI,Micro Cap,2026-08-26,2026-08-27,490.0,822.75,489.9,-40.46,2026-09-05,reconstructed,,,,OPEN
ALKYLAMINE@2026-08-31,ALKYLAMINE,Micro Cap,2026-08-31,2026-09-01,1991.0,4622.65,2003.8,-56.65,2026-09-05,reconstructed,,,,OPEN
RALLIS@2026-08-31,RALLIS,Micro Cap,2026-08-31,2026-09-01,208.0,381.05,207.19,-45.63,2026-09-05,reconstructed,,,,OPEN
